#{"t_start": 1616761261.110914, "env_id": "CartPole-v1"}
r,l,t
11.0,11,2.27264
15.0,15,2.273796
14.0,14,2.274784
18.0,18,2.276037
17.0,17,2.277343
19.0,19,2.278668
16.0,16,2.279779
13.0,13,2.280694
21.0,21,2.282229
33.0,33,2.284473
22.0,22,2.285974
39.0,39,2.288609
19.0,19,2.290024
11.0,11,2.290816
37.0,37,2.293332
17.0,17,2.294513
18.0,18,2.295856
22.0,22,2.297409
11.0,11,2.298208
10.0,10,2.299067
15.0,15,2.300241
26.0,26,2.302011
16.0,16,2.303145
40.0,40,2.30583
14.0,14,2.306916
16.0,16,2.30803
10.0,10,2.30877
19.0,19,2.310086
34.0,34,2.312593
33.0,33,2.314833
12.0,12,2.31569
22.0,22,2.317211
29.0,29,2.319282
21.0,21,2.320729
12.0,12,2.321595
34.0,34,2.323884
35.0,35,2.326355
28.0,28,2.328247
32.0,32,2.330571
20.0,20,2.331955
13.0,13,2.332989
12.0,12,2.333874
12.0,12,2.33473
35.0,35,2.337093
25.0,25,2.338918
18.0,18,2.340166
20.0,20,2.341559
25.0,25,2.357676
27.0,27,2.35975
26.0,26,2.361684
22.0,22,2.363219
16.0,16,2.364342
30.0,30,2.366492
18.0,18,2.367747
17.0,17,2.368937
16.0,16,2.370077
12.0,12,2.371056
40.0,40,2.373771
14.0,14,2.374776
30.0,30,2.376954
12.0,12,2.377945
15.0,15,2.379005
15.0,15,2.380065
11.0,11,2.380856
11.0,11,2.381772
20.0,20,2.383161
13.0,13,2.384089
32.0,32,2.386267
12.0,12,2.387235
11.0,11,2.388039
14.0,14,2.389048
16.0,16,2.390181
17.0,17,2.391496
20.0,20,2.393117
16.0,16,2.394838
15.0,15,2.39594
19.0,19,2.397444
32.0,32,2.399623
20.0,20,2.400997
33.0,33,2.403243
11.0,11,2.404159
16.0,16,2.405295
19.0,19,2.406802
11.0,11,2.407631
33.0,33,2.40999
16.0,16,2.411114
35.0,35,2.413488
27.0,27,2.415346
14.0,14,2.416448
13.0,13,2.417398
32.0,32,2.419569
22.0,22,2.421099
28.0,28,2.423133
10.0,10,2.423864
15.0,15,2.424925
29.0,29,2.42691
24.0,24,2.428691
29.0,29,2.43437
17.0,17,2.435501
18.0,18,2.436677
22.0,22,2.438435
24.0,24,2.440096
20.0,20,2.441502
20.0,20,2.442894
70.0,70,2.447693
44.0,44,2.450645
36.0,36,2.453084
30.0,30,2.455145
11.0,11,2.456063
26.0,26,2.457855
23.0,23,2.459432
31.0,31,2.461532
28.0,28,2.46356
11.0,11,2.464357
18.0,18,2.465635
17.0,17,2.466829
12.0,12,2.467986
11.0,11,2.468867
13.0,13,2.469812
18.0,18,2.471073
13.0,13,2.472198
21.0,21,2.473856
28.0,28,2.476064
13.0,13,2.477054
12.0,12,2.478067
32.0,32,2.480496
19.0,19,2.481846
28.0,28,2.48376
21.0,21,2.485409
13.0,13,2.486344
32.0,32,2.48853
28.0,28,2.49046
22.0,22,2.492125
40.0,40,2.494846
12.0,12,2.49571
18.0,18,2.496971
52.0,52,2.500813
20.0,20,2.502247
18.0,18,2.503503
28.0,28,2.515643
10.0,10,2.516954
15.0,15,2.518329
31.0,31,2.520519
17.0,17,2.521784
79.0,79,2.527241
34.0,34,2.529758
33.0,33,2.53202
32.0,32,2.534231
33.0,33,2.536639
10.0,10,2.537405
18.0,18,2.538675
36.0,36,2.541158
18.0,18,2.542474
13.0,13,2.543347
12.0,12,2.544168
24.0,24,2.54573
14.0,14,2.546761
62.0,62,2.550646
34.0,34,2.55318
12.0,12,2.554343
15.0,15,2.555607
17.0,17,2.557115
34.0,34,2.560459
16.0,16,2.562074
24.0,24,2.564261
41.0,41,2.567436
24.0,24,2.569236
13.0,13,2.570192
13.0,13,2.571295
17.0,17,2.572523
20.0,20,2.573964
29.0,29,2.57597
20.0,20,2.577511
19.0,19,2.578854
31.0,31,2.580984
9.0,9,2.581671
26.0,26,2.58357
19.0,19,2.584904
31.0,31,2.587046
20.0,20,2.588445
17.0,17,2.589768
19.0,19,2.600901
31.0,31,2.602984
18.0,18,2.604165
18.0,18,2.605564
19.0,19,2.606815
21.0,21,2.60819
13.0,13,2.609062
13.0,13,2.610043
29.0,29,2.61186
15.0,15,2.612846
18.0,18,2.614047
12.0,12,2.614951
26.0,26,2.616577
13.0,13,2.617449
28.0,28,2.619216
17.0,17,2.620423
56.0,56,2.624364
17.0,17,2.625588
16.0,16,2.626716
12.0,12,2.6277
37.0,37,2.630209
59.0,59,2.634338
11.0,11,2.635221
14.0,14,2.636376
23.0,23,2.637926
22.0,22,2.639333
39.0,39,2.6418
24.0,24,2.643441
11.0,11,2.644183
65.0,65,2.648228
12.0,12,2.649042
15.0,15,2.650138
23.0,23,2.651767
28.0,28,2.653767
25.0,25,2.655505
30.0,30,2.65771
15.0,15,2.658784
16.0,16,2.659922
26.0,26,2.661726
12.0,12,2.662699
20.0,20,2.664078
9.0,9,2.664735
