#{"t_start": 1616761261.110914, "env_id": "CartPole-v1"}
r,l,t
23.0,23,2.666329
16.0,16,2.667558
15.0,15,2.66862
14.0,14,2.673765
25.0,25,2.676257
43.0,43,2.679562
34.0,34,2.682475
20.0,20,2.683837
19.0,19,2.685083
24.0,24,2.686758
29.0,29,2.688596
16.0,16,2.689655
15.0,15,2.690651
13.0,13,2.69162
23.0,23,2.693117
28.0,28,2.694897
15.0,15,2.695888
22.0,22,2.697417
17.0,17,2.698536
18.0,18,2.699699
25.0,25,2.701302
18.0,18,2.702568
58.0,58,2.706191
17.0,17,2.70731
43.0,43,2.710016
19.0,19,2.711352
13.0,13,2.71222
13.0,13,2.713773
31.0,31,2.716091
27.0,27,2.718219
13.0,13,2.719164
26.0,26,2.720955
21.0,21,2.722439
9.0,9,2.72322
18.0,18,2.724481
13.0,13,2.72544
27.0,27,2.727306
22.0,22,2.728955
34.0,34,2.731295
16.0,16,2.732436
25.0,25,2.734188
11.0,11,2.735109
24.0,24,2.736776
22.0,22,2.73832
33.0,33,2.740566
52.0,52,2.747987
26.0,26,2.749845
30.0,30,2.752038
33.0,33,2.754338
28.0,28,2.756389
38.0,38,2.758996
16.0,16,2.760124
19.0,19,2.761457
42.0,42,2.764422
53.0,53,2.768033
14.0,14,2.769061
19.0,19,2.770391
12.0,12,2.771372
9.0,9,2.772045
18.0,18,2.773327
38.0,38,2.776125
14.0,14,2.777275
10.0,10,2.778017
23.0,23,2.779635
27.0,27,2.781512
17.0,17,2.78282
22.0,22,2.784349
12.0,12,2.785238
32.0,32,2.787424
22.0,22,2.78907
17.0,17,2.790272
49.0,49,2.793947
17.0,17,2.795223
14.0,14,2.796368
19.0,19,2.797713
17.0,17,2.799049
17.0,17,2.800461
19.0,19,2.802192
24.0,24,2.80406
56.0,56,2.808137
14.0,14,2.809172
19.0,19,2.810653
9.0,9,2.811327
12.0,12,2.812197
29.0,29,2.814195
12.0,12,2.815189
18.0,18,2.816517
16.0,16,2.817661
13.0,13,2.818593
17.0,17,2.819898
14.0,14,2.824468
16.0,16,2.825684
35.0,35,2.828096
16.0,16,2.829371
17.0,17,2.83058
9.0,9,2.83125
41.0,41,2.834997
20.0,20,2.836942
31.0,31,2.839137
19.0,19,2.840506
9.0,9,2.841208
18.0,18,2.842665
10.0,10,2.843421
15.0,15,2.844495
41.0,41,2.847362
20.0,20,2.848899
25.0,25,2.85066
31.0,31,2.852813
21.0,21,2.854295
56.0,56,2.858246
15.0,15,2.859314
29.0,29,2.861316
38.0,38,2.863868
30.0,30,2.866064
14.0,14,2.867223
32.0,32,2.86944
16.0,16,2.870572
12.0,12,2.871562
14.0,14,2.872782
20.0,20,2.874629
14.0,14,2.875863
33.0,33,2.878684
25.0,25,2.880451
11.0,11,2.881263
16.0,16,2.882521
19.0,19,2.884257
14.0,14,2.88543
11.0,11,2.886324
16.0,16,2.88758
13.0,13,2.888836
15.0,15,2.889927
15.0,15,2.891
21.0,21,2.892483
15.0,15,2.893688
39.0,39,2.89637
22.0,22,2.898068
45.0,45,2.904843
28.0,28,2.906936
17.0,17,2.908135
22.0,22,2.90967
15.0,15,2.910738
12.0,12,2.911821
15.0,15,2.912911
27.0,27,2.914788
20.0,20,2.916206
12.0,12,2.917203
29.0,29,2.91923
19.0,19,2.920588
20.0,20,2.922016
10.0,10,2.922905
19.0,19,2.924233
16.0,16,2.925372
26.0,26,2.92718
38.0,38,2.930085
16.0,16,2.931244
11.0,11,2.932049
31.0,31,2.934193
34.0,34,2.936636
20.0,20,2.938054
18.0,18,2.93933
10.0,10,2.940066
15.0,15,2.941272
27.0,27,2.943135
12.0,12,2.944016
31.0,31,2.946158
13.0,13,2.947211
15.0,15,2.948279
14.0,14,2.949291
51.0,51,2.952898
32.0,32,2.955248
42.0,42,2.958241
11.0,11,2.959067
32.0,32,2.961262
28.0,28,2.963318
16.0,16,2.96445
27.0,27,2.966541
23.0,23,2.968441
26.0,26,2.970663
22.0,22,2.972438
32.0,32,2.974679
15.0,15,2.975747
38.0,38,2.981784
24.0,24,2.983438
23.0,23,2.984925
12.0,12,2.985758
17.0,17,2.986995
34.0,34,2.989349
14.0,14,2.990442
48.0,48,2.993986
15.0,15,2.995272
15.0,15,2.996371
21.0,21,2.997896
27.0,27,2.999775
9.0,9,3.00065
10.0,10,3.001427
31.0,31,3.003577
14.0,14,3.004778
29.0,29,3.006952
14.0,14,3.007974
17.0,17,3.009199
22.0,22,3.010755
21.0,21,3.012354
25.0,25,3.014111
16.0,16,3.015261
38.0,38,3.017883
24.0,24,3.019678
23.0,23,3.021289
20.0,20,3.02269
25.0,25,3.02441
41.0,41,3.02731
23.0,23,3.028909
62.0,62,3.033668
30.0,30,3.036422
17.0,17,3.037866
28.0,28,3.039825
31.0,31,3.041989
17.0,17,3.043216
15.0,15,3.044434
36.0,36,3.046906
25.0,25,3.048649
14.0,14,3.049664
20.0,20,3.051195
14.0,14,3.052198
28.0,28,3.058789
31.0,31,3.06095
39.0,39,3.063683
10.0,10,3.064408
31.0,31,3.066772
11.0,11,3.067587
15.0,15,3.068761
10.0,10,3.069508
9.0,9,3.070172
11.0,11,3.070964
15.0,15,3.072141
11.0,11,3.072986
13.0,13,3.073933
24.0,24,3.075584
30.0,30,3.077741
27.0,27,3.079587
25.0,25,3.081328
12.0,12,3.082192
30.0,30,3.084343
11.0,11,3.085232
17.0,17,3.086431
11.0,11,3.087227
22.0,22,3.088943
13.0,13,3.089903
16.0,16,3.091026
15.0,15,3.092073
16.0,16,3.093325
20.0,20,3.094727
41.0,41,3.097766
12.0,12,3.098645
16.0,16,3.099902
19.0,19,3.101256
14.0,14,3.10226
27.0,27,3.104132
31.0,31,3.106379
17.0,17,3.107567
16.0,16,3.10869
15.0,15,3.10976
10.0,10,3.110604
15.0,15,3.111754
14.0,14,3.113442
26.0,26,3.115288
35.0,35,3.117826
17.0,17,3.119098
53.0,53,3.122682
19.0,19,3.124034
24.0,24,3.125878
13.0,13,3.126886
13.0,13,3.127906
13.0,13,3.128842
25.0,25,3.130703
16.0,16,3.135543
49.0,49,3.138897
22.0,22,3.140421
19.0,19,3.141888
37.0,37,3.144419
12.0,12,3.145307
15.0,15,3.146379
24.0,24,3.14816
48.0,48,3.151419
16.0,16,3.152756
17.0,17,3.154521
15.0,15,3.156179
13.0,13,3.157439
21.0,21,3.159056
13.0,13,3.159993
17.0,17,3.161354
22.0,22,3.162884
21.0,21,3.164341
23.0,23,3.165947
28.0,28,3.16803
11.0,11,3.168936
22.0,22,3.170618
24.0,24,3.172292
47.0,47,3.175679
25.0,25,3.177425
27.0,27,3.179285
35.0,35,3.181693
32.0,32,3.18399
13.0,13,3.184921
11.0,11,3.185742
14.0,14,3.186746
28.0,28,3.189005
27.0,27,3.190906
10.0,10,3.191649
52.0,52,3.195396
18.0,18,3.196931
14.0,14,3.198041
32.0,32,3.201291
19.0,19,3.203291
36.0,36,3.206191
15.0,15,3.207315
20.0,20,3.208745
20.0,20,3.210194
14.0,14,3.214696
16.0,16,3.215792
17.0,17,3.216917
22.0,22,3.21837
61.0,61,3.222798
14.0,14,3.223799
10.0,10,3.224534
38.0,38,3.2271
26.0,26,3.228997
19.0,19,3.23024
32.0,32,3.23233
16.0,16,3.233559
38.0,38,3.236315
56.0,56,3.240096
16.0,16,3.241273
20.0,20,3.242669
12.0,12,3.243687
23.0,23,3.245291
20.0,20,3.246686
13.0,13,3.247623
19.0,19,3.249064
32.0,32,3.251382
55.0,55,3.254785
19.0,19,3.256015
22.0,22,3.257539
22.0,22,3.25893
45.0,45,3.261725
12.0,12,3.262522
18.0,18,3.263774
27.0,27,3.265476
11.0,11,3.266199
19.0,19,3.267411
29.0,29,3.269347
14.0,14,3.270259
14.0,14,3.27117
23.0,23,3.272845
18.0,18,3.274231
23.0,23,3.275811
17.0,17,3.277005
17.0,17,3.278208
11.0,11,3.279117
12.0,12,3.279984
20.0,20,3.281474
18.0,18,3.282725
14.0,14,3.287558
27.0,27,3.289332
17.0,17,3.290492
15.0,15,3.291489
12.0,12,3.292429
18.0,18,3.293609
23.0,23,3.295064
18.0,18,3.296213
32.0,32,3.29834
42.0,42,3.300965
9.0,9,3.301595
28.0,28,3.303361
31.0,31,3.30542
15.0,15,3.30639
16.0,16,3.307422
30.0,30,3.309323
37.0,37,3.312066
20.0,20,3.313704
24.0,24,3.315455
13.0,13,3.31639
20.0,20,3.317977
10.0,10,3.318789
16.0,16,3.319936
23.0,23,3.321573
19.0,19,3.323056
26.0,26,3.324858
14.0,14,3.325822
14.0,14,3.326757
15.0,15,3.327869
11.0,11,3.328605
23.0,23,3.330127
16.0,16,3.331175
19.0,19,3.332506
20.0,20,3.333805
12.0,12,3.334604
28.0,28,3.336362
19.0,19,3.337706
26.0,26,3.339366
11.0,11,3.340106
15.0,15,3.341105
25.0,25,3.343091
17.0,17,3.344302
21.0,21,3.345767
14.0,14,3.346768
24.0,24,3.348536
20.0,20,3.349946
10.0,10,3.350676
19.0,19,3.352051
13.0,13,3.353246
22.0,22,3.354901
25.0,25,3.356632
27.0,27,3.361789
14.0,14,3.362855
28.0,28,3.364629
15.0,15,3.365645
24.0,24,3.36718
26.0,26,3.369081
16.0,16,3.37016
48.0,48,3.373524
13.0,13,3.374489
24.0,24,3.376156
27.0,27,3.377871
22.0,22,3.379272
12.0,12,3.380078
10.0,10,3.380873
36.0,36,3.383187
30.0,30,3.385096
20.0,20,3.386382
10.0,10,3.387171
13.0,13,3.388035
19.0,19,3.38928
11.0,11,3.390013
11.0,11,3.39086
20.0,20,3.392213
13.0,13,3.393279
22.0,22,3.394817
26.0,26,3.396711
38.0,38,3.399311
12.0,12,3.400202
18.0,18,3.401522
51.0,51,3.405279
17.0,17,3.406517
18.0,18,3.407776
28.0,28,3.409534
16.0,16,3.410739
22.0,22,3.41213
16.0,16,3.413187
10.0,10,3.413877
13.0,13,3.41484
40.0,40,3.417544
50.0,50,3.420918
11.0,11,3.421674
16.0,16,3.42281
18.0,18,3.42397
22.0,22,3.425368
13.0,13,3.426225
20.0,20,3.427612
31.0,31,3.433658
15.0,15,3.434887
24.0,24,3.43654
19.0,19,3.438002
18.0,18,3.439174
13.0,13,3.440042
45.0,45,3.442836
14.0,14,3.443861
18.0,18,3.445048
16.0,16,3.446093
16.0,16,3.447136
36.0,36,3.449512
32.0,32,3.451549
15.0,15,3.45253
17.0,17,3.453646
33.0,33,3.455822
32.0,32,3.457857
25.0,25,3.45943
26.0,26,3.461083
25.0,25,3.462764
12.0,12,3.463569
16.0,16,3.464824
14.0,14,3.46584
36.0,36,3.468387
16.0,16,3.469527
27.0,27,3.471363
27.0,27,3.47349
11.0,11,3.474421
18.0,18,3.47569
9.0,9,3.476364
16.0,16,3.477517
21.0,21,3.479093
12.0,12,3.479961
29.0,29,3.481972
43.0,43,3.484881
13.0,13,3.485934
35.0,35,3.488325
14.0,14,3.48934
32.0,32,3.49156
41.0,41,3.494463
29.0,29,3.496708
46.0,46,3.499806
58.0,58,3.507003
15.0,15,3.50814
14.0,14,3.509085
12.0,12,3.509895
40.0,40,3.512645
40.0,40,3.5163
28.0,28,3.51832
9.0,9,3.519071
17.0,17,3.520265
26.0,26,3.522224
18.0,18,3.523491
21.0,21,3.52495
16.0,16,3.526314
18.0,18,3.527729
26.0,26,3.529528
10.0,10,3.530262
26.0,26,3.532053
18.0,18,3.533442
13.0,13,3.534386
12.0,12,3.535253
44.0,44,3.538234
51.0,51,3.541774
16.0,16,3.542901
38.0,38,3.545486
18.0,18,3.54674
38.0,38,3.549449
10.0,10,3.550185
33.0,33,3.552289
15.0,15,3.553428
16.0,16,3.554679
26.0,26,3.55661
20.0,20,3.55801
17.0,17,3.559199
30.0,30,3.561363
38.0,38,3.563836
10.0,10,3.564508
17.0,17,3.565629
16.0,16,3.566779
13.0,13,3.567664
19.0,19,3.568895
9.0,9,3.569551
15.0,15,3.570683
35.0,35,3.572866
14.0,14,3.573864
15.0,15,3.574868
10.0,10,3.575669
10.0,10,3.579751
15.0,15,3.580794
13.0,13,3.581688
31.0,31,3.583774
30.0,30,3.585682
11.0,11,3.586423
17.0,17,3.587759
10.0,10,3.588665
39.0,39,3.591326
31.0,31,3.593502
15.0,15,3.594566
18.0,18,3.595939
15.0,15,3.597003
27.0,27,3.598869
21.0,21,3.600342
88.0,88,3.606674
19.0,19,3.608087
19.0,19,3.609462
18.0,18,3.610732
27.0,27,3.612773
12.0,12,3.613664
20.0,20,3.615057
46.0,46,3.618183
20.0,20,3.619704
17.0,17,3.620905
27.0,27,3.622776
16.0,16,3.623908
16.0,16,3.625169
9.0,9,3.625845
15.0,15,3.626909
19.0,19,3.628249
38.0,38,3.630962
56.0,56,3.635537
52.0,52,3.639568
21.0,21,3.64118
13.0,13,3.642203
21.0,21,3.643552
53.0,53,3.646888
11.0,11,3.647632
19.0,19,3.649041
21.0,21,3.65039
23.0,23,3.660745
16.0,16,3.661844
18.0,18,3.663158
26.0,26,3.664965
19.0,19,3.666315
18.0,18,3.667481
21.0,21,3.668944
99.0,99,3.675967
28.0,28,3.67798
22.0,22,3.67954
23.0,23,3.681305
42.0,42,3.684158
13.0,13,3.685196
37.0,37,3.687715
17.0,17,3.689095
40.0,40,3.691877
20.0,20,3.693314
35.0,35,3.695844
10.0,10,3.696731
10.0,10,3.697491
46.0,46,3.700619
38.0,38,3.703199
11.0,11,3.704116
21.0,21,3.70561
34.0,34,3.707924
13.0,13,3.70886
23.0,23,3.710581
28.0,28,3.712627
21.0,21,3.714122
20.0,20,3.715513
11.0,11,3.716434
12.0,12,3.717255
22.0,22,3.718677
11.0,11,3.719427
14.0,14,3.720485
14.0,14,3.721427
33.0,33,3.72348
11.0,11,3.724244
17.0,17,3.725622
27.0,27,3.727349
10.0,10,3.728026
40.0,40,3.733986
14.0,14,3.735079
25.0,25,3.736681
13.0,13,3.737552
15.0,15,3.73854
30.0,30,3.740535
11.0,11,3.74129
54.0,54,3.744662
10.0,10,3.745365
16.0,16,3.746511
44.0,44,3.749248
28.0,28,3.751017
11.0,11,3.751759
25.0,25,3.753932
21.0,21,3.755696
13.0,13,3.756701
13.0,13,3.757655
10.0,10,3.758541
11.0,11,3.759344
11.0,11,3.76015
13.0,13,3.761094
26.0,26,3.762989
13.0,13,3.76393
10.0,10,3.764662
36.0,36,3.767167
10.0,10,3.768154
10.0,10,3.76889
17.0,17,3.770017
14.0,14,3.770985
14.0,14,3.77202
27.0,27,3.773802
31.0,31,3.775791
10.0,10,3.776469
45.0,45,3.779426
19.0,19,3.780659
49.0,49,3.783725
37.0,37,3.786092
18.0,18,3.78769
18.0,18,3.788955
21.0,21,3.790418
24.0,24,3.792214
11.0,11,3.793311
26.0,26,3.795046
13.0,13,3.795917
21.0,21,3.797279
39.0,39,3.799867
18.0,18,3.801122
10.0,10,3.801876
48.0,48,3.809208
9.0,9,3.810009
28.0,28,3.811801
21.0,21,3.813229
14.0,14,3.814231
26.0,26,3.816146
26.0,26,3.818179
15.0,15,3.819238
40.0,40,3.82193
22.0,22,3.823574
51.0,51,3.827011
45.0,45,3.830041
38.0,38,3.833174
12.0,12,3.834311
13.0,13,3.835363
18.0,18,3.837221
18.0,18,3.838893
10.0,10,3.839906
21.0,21,3.841487
12.0,12,3.842389
42.0,42,3.845278
61.0,61,3.849712
16.0,16,3.850853
32.0,32,3.853045
21.0,21,3.8545
39.0,39,3.857239
17.0,17,3.858432
39.0,39,3.861066
32.0,32,3.863243
10.0,10,3.864091
25.0,25,3.865836
26.0,26,3.867612
23.0,23,3.869198
19.0,19,3.870635
19.0,19,3.871982
33.0,33,3.874718
14.0,14,3.876595
53.0,53,3.880837
24.0,24,3.885885
16.0,16,3.88696
14.0,14,3.887878
23.0,23,3.889502
16.0,16,3.890548
25.0,25,3.892128
19.0,19,3.893391
54.0,54,3.896827
11.0,11,3.897591
18.0,18,3.898756
18.0,18,3.899908
21.0,21,3.901379
17.0,17,3.902502
12.0,12,3.903303
14.0,14,3.904223
27.0,27,3.906044
10.0,10,3.906719
11.0,11,3.907454
16.0,16,3.908503
12.0,12,3.909668
31.0,31,3.911849
19.0,19,3.913272
31.0,31,3.915389
13.0,13,3.91645
15.0,15,3.917536
25.0,25,3.919267
22.0,22,3.920816
15.0,15,3.922003
32.0,32,3.924194
31.0,31,3.926332
13.0,13,3.927269
46.0,46,3.930509
12.0,12,3.931386
18.0,18,3.932654
14.0,14,3.933692
19.0,19,3.935137
11.0,11,3.935942
19.0,19,3.937288
15.0,15,3.938357
22.0,22,3.940233
33.0,33,3.942496
17.0,17,3.943695
14.0,14,3.944701
16.0,16,3.945973
36.0,36,3.948416
17.0,17,3.949623
21.0,21,3.951084
23.0,23,3.953043
11.0,11,3.954319
21.0,21,3.956156
20.0,20,3.96129
25.0,25,3.963218
15.0,15,3.964291
31.0,31,3.966434
25.0,25,3.968167
13.0,13,3.969238
46.0,46,3.972559
18.0,18,3.973846
15.0,15,3.974914
22.0,22,3.976568
26.0,26,3.978358
18.0,18,3.979626
35.0,35,3.982025
36.0,36,3.984602
30.0,30,3.986687
31.0,31,3.988811
24.0,24,3.990495
12.0,12,3.991484
30.0,30,3.99448
16.0,16,3.995683
21.0,21,3.997167
31.0,31,3.999471
18.0,18,4.000759
16.0,16,4.002124
13.0,13,4.003073
30.0,30,4.0053
24.0,24,4.006952
29.0,29,4.008945
22.0,22,4.010509
13.0,13,4.011585
36.0,36,4.014025
22.0,22,4.015544
24.0,24,4.01721
52.0,52,4.020862
13.0,13,4.021804
16.0,16,4.02294
14.0,14,4.023944
15.0,15,4.025133
24.0,24,4.026807
19.0,19,4.028136
19.0,19,4.029496
12.0,12,4.03048
13.0,13,4.03146
61.0,61,4.039777
16.0,16,4.040988
14.0,14,4.0422
24.0,24,4.04387
26.0,26,4.045665
11.0,11,4.04647
11.0,11,4.047387
11.0,11,4.04819
20.0,20,4.049603
13.0,13,4.050538
16.0,16,4.051779
18.0,18,4.053057
29.0,29,4.055066
12.0,12,4.055934
11.0,11,4.056843
20.0,20,4.05826
8.0,8,4.058878
43.0,43,4.061791
21.0,21,4.064638
14.0,14,4.066815
15.0,15,4.068851
24.0,24,4.072038
14.0,14,4.074491
18.0,18,4.076877
20.0,20,4.079005
16.0,16,4.080047
17.0,17,4.081296
27.0,27,4.083132
26.0,26,4.084968
28.0,28,4.086927
9.0,9,4.087747
16.0,16,4.08887
14.0,14,4.08988
27.0,27,4.091731
38.0,38,4.094664
18.0,18,4.095942
14.0,14,4.096943
12.0,12,4.09783
21.0,21,4.099408
16.0,16,4.100535
14.0,14,4.101546
19.0,19,4.102876
18.0,18,4.104268
19.0,19,4.105646
26.0,26,4.10745
9.0,9,4.108238
17.0,17,4.109565
32.0,32,4.111761
28.0,28,4.114229
17.0,17,4.115476
17.0,17,4.11707
18.0,18,4.1233
11.0,11,4.124281
17.0,17,4.1255
15.0,15,4.126715
22.0,22,4.128263
25.0,25,4.13001
22.0,22,4.13155
15.0,15,4.132803
21.0,21,4.134305
40.0,40,4.137049
18.0,18,4.138312
20.0,20,4.139843
20.0,20,4.141251
13.0,13,4.142191
26.0,26,4.143992
26.0,26,4.14592
36.0,36,4.148389
59.0,59,4.152588
19.0,19,4.154478
22.0,22,4.156291
18.0,18,4.157642
26.0,26,4.159439
12.0,12,4.160306
35.0,35,4.162847
13.0,13,4.163785
23.0,23,4.16543
12.0,12,4.166312
16.0,16,4.167656
14.0,14,4.168686
18.0,18,4.170006
37.0,37,4.172608
28.0,28,4.174779
12.0,12,4.175666
34.0,34,4.178009
30.0,30,4.180067
10.0,10,4.180921
13.0,13,4.181881
12.0,12,4.182751
9.0,9,4.183428
36.0,36,4.186155
26.0,26,4.187987
9.0,9,4.188662
15.0,15,4.189754
27.0,27,4.191783
15.0,15,4.192963
14.0,14,4.193971
25.0,25,4.195703
12.0,12,4.196711
23.0,23,4.202828
15.0,15,4.204082
12.0,12,4.205073
23.0,23,4.207041
20.0,20,4.208467
20.0,20,4.209873
13.0,13,4.210811
35.0,35,4.213345
21.0,21,4.214831
11.0,11,4.215741
15.0,15,4.216857
18.0,18,4.218265
23.0,23,4.219867
14.0,14,4.220873
21.0,21,4.222357
49.0,49,4.22583
34.0,34,4.228176
22.0,22,4.229724
30.0,30,4.231998
42.0,42,4.235031
53.0,53,4.23871
18.0,18,4.240029
13.0,13,4.240986
21.0,21,4.242651
14.0,14,4.243655
28.0,28,4.245623
27.0,27,4.24753
14.0,14,4.248664
25.0,25,4.250431
11.0,11,4.251247
17.0,17,4.252458
22.0,22,4.254112
25.0,25,4.255907
14.0,14,4.256914
29.0,29,4.258918
41.0,41,4.261966
12.0,12,4.262889
16.0,16,4.264038
33.0,33,4.266307
62.0,62,4.270604
18.0,18,4.271878
38.0,38,4.280006
26.0,26,4.281709
12.0,12,4.282649
21.0,21,4.284001
19.0,19,4.285296
10.0,10,4.285977
11.0,11,4.286859
31.0,31,4.28882
19.0,19,4.290057
10.0,10,4.290731
19.0,19,4.292137
13.0,13,4.293197
12.0,12,4.294074
15.0,15,4.295156
30.0,30,4.297358
19.0,19,4.298687
12.0,12,4.299551
18.0,18,4.300809
35.0,35,4.303306
19.0,19,4.304643
13.0,13,4.305596
44.0,44,4.308607
23.0,23,4.310331
20.0,20,4.311734
45.0,45,4.315075
20.0,20,4.316524
16.0,16,4.317847
13.0,13,4.31882
10.0,10,4.319561
24.0,24,4.321246
30.0,30,4.323563
38.0,38,4.326215
11.0,11,4.327024
14.0,14,4.328014
14.0,14,4.329177
10.0,10,4.329912
14.0,14,4.330917
20.0,20,4.332314
18.0,18,4.333693
18.0,18,4.334954
25.0,25,4.336692
13.0,13,4.337636
19.0,19,4.339113
26.0,26,4.340911
11.0,11,4.341726
16.0,16,4.342867
41.0,41,4.345785
25.0,25,4.347516
25.0,25,4.349251
15.0,15,4.350324
25.0,25,4.355954
21.0,21,4.35734
18.0,18,4.358511
24.0,24,4.360036
29.0,29,4.362002
15.0,15,4.362994
27.0,27,4.364722
35.0,35,4.366937
10.0,10,4.367846
12.0,12,4.368662
22.0,22,4.370155
17.0,17,4.371273
18.0,18,4.372574
15.0,15,4.373617
28.0,28,4.375382
17.0,17,4.376471
26.0,26,4.378241
21.0,21,4.379584
35.0,35,4.381899
23.0,23,4.383502
12.0,12,4.384548
13.0,13,4.385521
9.0,9,4.386193
128.0,128,4.395418
26.0,26,4.397445
31.0,31,4.399625
11.0,11,4.400429
35.0,35,4.402853
26.0,26,4.404958
13.0,13,4.406502
15.0,15,4.408283
25.0,25,4.41062
12.0,12,4.411762
22.0,22,4.413326
22.0,22,4.414885
25.0,25,4.416734
30.0,30,4.418936
17.0,17,4.420131
11.0,11,4.420943
29.0,29,4.422947
19.0,19,4.424397
16.0,16,4.42554
13.0,13,4.426481
35.0,35,4.432633
15.0,15,4.433953
