#{"t_start": 1616761110.7713695, "env_id": "CartPole-v1"}
r,l,t
17.0,17,2.863754
25.0,25,2.865635
37.0,37,2.868258
21.0,21,2.869833
13.0,13,2.871087
19.0,19,2.872594
29.0,29,2.874622
15.0,15,2.875701
11.0,11,2.876513
50.0,50,2.880082
29.0,29,2.882106
25.0,25,2.883873
14.0,14,2.884893
19.0,19,2.886367
11.0,11,2.887187
16.0,16,2.888332
12.0,12,2.889234
16.0,16,2.890491
54.0,54,2.894171
23.0,23,2.895771
23.0,23,2.897388
23.0,23,2.899127
17.0,17,2.900347
17.0,17,2.901583
39.0,39,2.904275
15.0,15,2.90548
20.0,20,2.906895
55.0,55,2.910678
17.0,17,2.911884
16.0,16,2.913144
19.0,19,2.914501
21.0,21,2.915974
38.0,38,2.928204
16.0,16,2.92947
16.0,16,2.930636
20.0,20,2.93204
12.0,12,2.932927
39.0,39,2.935723
39.0,39,2.938459
16.0,16,2.939619
12.0,12,2.940494
46.0,46,2.943829
10.0,10,2.944646
31.0,31,2.947087
15.0,15,2.948402
17.0,17,2.950096
19.0,19,2.951907
10.0,10,2.952929
26.0,26,2.955394
18.0,18,2.95719
16.0,16,2.95835
21.0,21,2.960017
27.0,27,2.961995
12.0,12,2.963055
52.0,52,2.967405
47.0,47,2.97117
10.0,10,2.972191
23.0,23,2.974419
23.0,23,2.976634
15.0,15,2.978107
11.0,11,2.979219
14.0,14,2.980626
17.0,17,2.981995
11.0,11,2.983162
62.0,62,2.988426
15.0,15,2.990081
10.0,10,2.991066
37.0,37,2.994412
24.0,24,2.996704
15.0,15,2.998256
18.0,18,2.999805
12.0,12,3.000803
24.0,24,3.00303
19.0,19,3.004929
37.0,37,3.007908
19.0,19,3.009482
43.0,43,3.017107
11.0,11,3.018228
14.0,14,3.019352
11.0,11,3.020232
16.0,16,3.02151
25.0,25,3.02368
14.0,14,3.024908
50.0,50,3.029396
14.0,14,3.030681
34.0,34,3.034028
31.0,31,3.036858
12.0,12,3.037999
15.0,15,3.039454
28.0,28,3.042033
17.0,17,3.043267
17.0,17,3.04451
52.0,52,3.048385
18.0,18,3.05017
19.0,19,3.052006
33.0,33,3.054873
46.0,46,3.058097
22.0,22,3.059845
28.0,28,3.061821
19.0,19,3.063374
11.0,11,3.064276
33.0,33,3.066732
16.0,16,3.06788
33.0,33,3.070245
20.0,20,3.071696
28.0,28,3.073809
39.0,39,3.076494
12.0,12,3.077389
37.0,37,3.079932
24.0,24,3.081728
15.0,15,3.0828
21.0,21,3.08428
25.0,25,3.08604
23.0,23,3.087759
38.0,38,3.090376
14.0,14,3.091414
25.0,25,3.093152
11.0,11,3.1037
23.0,23,3.10527
12.0,12,3.106227
10.0,10,3.107107
19.0,19,3.108884
19.0,19,3.110363
12.0,12,3.11117
16.0,16,3.112222
18.0,18,3.113532
32.0,32,3.115561
24.0,24,3.117114
40.0,40,3.119654
23.0,23,3.121367
15.0,15,3.122367
13.0,13,3.123245
12.0,12,3.124056
26.0,26,3.12585
12.0,12,3.126661
12.0,12,3.127473
15.0,15,3.128466
28.0,28,3.130386
17.0,17,3.131507
17.0,17,3.132637
17.0,17,3.133753
12.0,12,3.134671
17.0,17,3.135781
41.0,41,3.138401
18.0,18,3.139572
16.0,16,3.140742
23.0,23,3.142222
16.0,16,3.143278
20.0,20,3.144588
20.0,20,3.14599
40.0,40,3.148502
32.0,32,3.150542
34.0,34,3.152693
28.0,28,3.154623
13.0,13,3.155495
27.0,27,3.15722
12.0,12,3.158035
41.0,41,3.160944
57.0,57,3.164501
21.0,21,3.165871
27.0,27,3.167593
27.0,27,3.169468
14.0,14,3.170435
20.0,20,3.177213
14.0,14,3.17846
29.0,29,3.180751
10.0,10,3.181607
12.0,12,3.182485
17.0,17,3.183691
18.0,18,3.185083
13.0,13,3.185955
11.0,11,3.187024
13.0,13,3.18824
