#{"t_start": 1617027462.80121, "env_id": "CartPole-v1"}
r,l,t
24.0,24,3.409463
11.0,11,3.412002
14.0,14,3.414941
34.0,34,3.420807
13.0,13,3.423166
10.0,10,3.424842
28.0,28,3.428794
24.0,24,3.432157
15.0,15,3.434767
18.0,18,3.437604
28.0,28,3.441968
14.0,14,3.444204
13.0,13,3.446503
17.0,17,3.449203
12.0,12,3.451154
49.0,49,3.458543
28.0,28,3.463052
15.0,15,3.465459
18.0,18,3.468281
13.0,13,3.470376
39.0,39,3.476799
21.0,21,3.480098
18.0,18,3.482969
18.0,18,3.485809
11.0,11,3.487818
38.0,38,3.493613
19.0,19,3.496466
18.0,18,3.499231
15.0,15,3.50182
17.0,17,3.504482
12.0,12,3.506444
18.0,18,3.509307
46.0,46,3.516524
23.0,23,3.520106
23.0,23,3.5237
47.0,47,3.530912
25.0,25,3.535058
77.0,77,3.54772
32.0,32,3.552709
57.0,57,3.561337
28.0,28,3.565965
16.0,16,3.639201
47.0,47,3.648466
13.0,13,3.650898
23.0,23,3.65451
12.0,12,3.656505
14.0,14,3.658853
25.0,25,3.662772
19.0,19,3.666052
62.0,62,3.674735
30.0,30,3.679578
14.0,14,3.681864
20.0,20,3.685272
11.0,11,3.687131
10.0,10,3.688797
17.0,17,3.691339
28.0,28,3.695965
32.0,32,3.700988
21.0,21,3.704298
28.0,28,3.708714
14.0,14,3.711267
38.0,38,3.717133
20.0,20,3.72032
22.0,22,3.723838
21.0,21,3.727479
13.0,13,3.729588
20.0,20,3.732745
69.0,69,3.743219
49.0,49,3.750985
53.0,53,3.759077
13.0,13,3.761203
27.0,27,3.765452
25.0,25,3.76961
32.0,32,3.774731
13.0,13,3.776874
14.0,14,3.779155
11.0,11,3.781234
13.0,13,3.78337
12.0,12,3.785326
22.0,22,3.788794
22.0,22,3.792508
16.0,16,3.79508
14.0,14,3.797341
48.0,48,3.815254
56.0,56,3.824233
17.0,17,3.827033
34.0,34,3.832491
20.0,20,3.836406
17.0,17,3.839567
42.0,42,3.846284
27.0,27,3.850547
20.0,20,3.853735
15.0,15,3.856425
24.0,24,3.860243
18.0,18,3.863158
16.0,16,3.865745
13.0,13,3.868186
13.0,13,3.870398
10.0,10,3.872127
16.0,16,3.874794
18.0,18,3.878027
29.0,29,3.882845
17.0,17,3.885657
11.0,11,3.88748
16.0,16,3.890184
46.0,46,3.897349
12.0,12,3.899379
16.0,16,3.902031
29.0,29,3.906817
26.0,26,3.910986
13.0,13,3.913124
14.0,14,3.915403
15.0,15,3.918103
12.0,12,3.920076
18.0,18,3.922968
14.0,14,3.925351
11.0,11,3.927459
13.0,13,3.929626
11.0,11,3.931452
25.0,25,3.935548
15.0,15,3.938235
13.0,13,3.940372
39.0,39,3.946623
21.0,21,3.949994
14.0,14,3.952539
35.0,35,3.957981
18.0,18,3.960966
45.0,45,3.967899
15.0,15,3.970601
15.0,15,3.973049
15.0,15,3.986303
15.0,15,3.988792
12.0,12,3.990888
18.0,18,3.993573
16.0,16,3.995945
57.0,57,4.004106
17.0,17,4.006815
12.0,12,4.008663
12.0,12,4.010616
46.0,46,4.017692
26.0,26,4.021987
11.0,11,4.023809
33.0,33,4.028997
40.0,40,4.035189
9.0,9,4.036937
23.0,23,4.04045
27.0,27,4.044387
43.0,43,4.050675
17.0,17,4.053415
10.0,10,4.054927
16.0,16,4.057259
12.0,12,4.059267
15.0,15,4.061941
10.0,10,4.063641
18.0,18,4.066525
17.0,17,4.069258
30.0,30,4.074197
19.0,19,4.077266
29.0,29,4.08181
10.0,10,4.083583
17.0,17,4.086643
39.0,39,4.092154
41.0,41,4.097951
51.0,51,4.105287
15.0,15,4.107987
34.0,34,4.113373
17.0,17,4.115854
19.0,19,4.1187
19.0,19,4.121674
21.0,21,4.124742
24.0,24,4.12899
23.0,23,4.132859
10.0,10,4.134883
25.0,25,4.138874
11.0,11,4.14075
15.0,15,4.15424
9.0,9,4.156082
25.0,25,4.162872
13.0,13,4.166229
24.0,24,4.171928
28.0,28,4.177342
48.0,48,4.185523
24.0,24,4.18932
17.0,17,4.192065
23.0,23,4.195934
12.0,12,4.197931
22.0,22,4.20142
26.0,26,4.205533
13.0,13,4.207906
20.0,20,4.211032
14.0,14,4.213208
10.0,10,4.214839
31.0,31,4.219636
16.0,16,4.222291
45.0,45,4.229443
21.0,21,4.23295
24.0,24,4.236964
37.0,37,4.242951
15.0,15,4.245499
12.0,12,4.24758
16.0,16,4.250499
12.0,12,4.252503
30.0,30,4.257167
17.0,17,4.259963
26.0,26,4.264547
16.0,16,4.26715
34.0,34,4.272689
52.0,52,4.280696
16.0,16,4.283556
14.0,14,4.286044
12.0,12,4.288143
37.0,37,4.293906
18.0,18,4.29707
38.0,38,4.303029
16.0,16,4.305651
10.0,10,4.307375
62.0,62,4.317206
19.0,19,4.320295
20.0,20,4.334262
23.0,23,4.338028
11.0,11,4.340153
38.0,38,4.346234
15.0,15,4.348767
15.0,15,4.351253
20.0,20,4.354749
90.0,90,4.368457
16.0,16,4.371108
10.0,10,4.372803
18.0,18,4.375963
24.0,24,4.379776
15.0,15,4.382349
13.0,13,4.384697
22.0,22,4.388488
23.0,23,4.392413
16.0,16,4.395365
23.0,23,4.398956
8.0,8,4.400465
14.0,14,4.402561
23.0,23,4.405841
37.0,37,4.411103
11.0,11,4.412985
12.0,12,4.4148
14.0,14,4.416908
16.0,16,4.419313
23.0,23,4.422907
15.0,15,4.425159
14.0,14,4.427691
31.0,31,4.432127
13.0,13,4.434321
19.0,19,4.437088
33.0,33,4.441821
23.0,23,4.445186
12.0,12,4.447264
18.0,18,4.449905
37.0,37,4.455092
24.0,24,4.458502
13.0,13,4.460651
11.0,11,4.462311
17.0,17,4.464773
15.0,15,4.466973
16.0,16,4.469514
10.0,10,4.471051
24.0,24,4.47449
16.0,16,4.476828
12.0,12,4.478836
12.0,12,4.480636
18.0,18,4.483239
11.0,11,4.484905
15.0,15,4.487368
26.0,26,4.500683
14.0,14,4.502828
37.0,37,4.508044
13.0,13,4.510239
16.0,16,4.512593
15.0,15,4.514808
17.0,17,4.51729
15.0,15,4.519734
13.0,13,4.521694
10.0,10,4.523229
42.0,42,4.529094
47.0,47,4.536027
25.0,25,4.53962
11.0,11,4.541286
14.0,14,4.543441
32.0,32,4.548209
18.0,18,4.550837
30.0,30,4.55511
14.0,14,4.557178
27.0,27,4.561276
18.0,18,4.5639
21.0,21,4.566945
15.0,15,4.569138
16.0,16,4.571711
27.0,27,4.575557
26.0,26,4.579288
33.0,33,4.583959
28.0,28,4.588169
14.0,14,4.590259
15.0,15,4.592472
15.0,15,4.594692
13.0,13,4.596852
15.0,15,4.599079
18.0,18,4.601698
12.0,12,4.603487
18.0,18,4.606299
12.0,12,4.608092
11.0,11,4.609771
8.0,8,4.611031
102.0,102,4.625221
18.0,18,4.627867
11.0,11,4.629525
18.0,18,4.632143
51.0,51,4.639443
11.0,11,4.641092
12.0,12,4.642984
24.0,24,4.656403
18.0,18,4.659333
13.0,13,4.66129
34.0,34,4.666085
22.0,22,4.669193
45.0,45,4.675697
14.0,14,4.6778
18.0,18,4.680389
21.0,21,4.683399
25.0,25,4.687125
20.0,20,4.689987
16.0,16,4.692325
9.0,9,4.693738
12.0,12,4.695745
15.0,15,4.697968
20.0,20,4.700837
23.0,23,4.704105
12.0,12,4.706146
19.0,19,4.708877
51.0,51,4.716037
12.0,12,4.717983
11.0,11,4.720262
70.0,70,4.730041
15.0,15,4.732272
