#{"t_start": 1617027462.80121, "env_id": "CartPole-v1"}
r,l,t
16.0,16,4.734624
28.0,28,4.738899
13.0,13,4.740864
14.0,14,4.743027
20.0,20,4.745919
26.0,26,4.749853
20.0,20,4.75274
16.0,16,4.755073
32.0,32,4.759587
17.0,17,4.762315
33.0,33,4.766954
9.0,9,4.768342
10.0,10,4.769884
16.0,16,4.772442
14.0,14,4.774505
12.0,12,4.776294
16.0,16,4.778652
12.0,12,4.780658
13.0,13,4.782593
14.0,14,4.784682
35.0,35,4.789721
18.0,18,4.792537
18.0,18,4.795172
21.0,21,4.798186
17.0,17,4.800664
41.0,41,4.816327
38.0,38,4.821772
14.0,14,4.823864
10.0,10,4.825412
20.0,20,4.828535
10.0,10,4.830074
16.0,16,4.832445
20.0,20,4.83554
30.0,30,4.840093
14.0,14,4.842196
19.0,19,4.845039
9.0,9,4.846449
25.0,25,4.850283
12.0,12,4.852145
30.0,30,4.856422
26.0,26,4.86016
21.0,21,4.863448
34.0,34,4.868263
12.0,12,4.870068
18.0,18,4.872687
21.0,21,4.875929
18.0,18,4.878554
15.0,15,4.880737
10.0,10,4.882276
16.0,16,4.884806
11.0,11,4.886487
18.0,18,4.889095
14.0,14,4.8912
15.0,15,4.893619
15.0,15,4.89583
18.0,18,4.898461
15.0,15,4.900655
49.0,49,4.90771
22.0,22,4.910872
13.0,13,4.912826
17.0,17,4.915315
97.0,97,4.928829
17.0,17,4.931323
31.0,31,4.935671
26.0,26,4.939508
13.0,13,4.94175
23.0,23,4.945092
24.0,24,4.948525
18.0,18,4.951167
81.0,81,4.972301
12.0,12,4.974194
41.0,41,4.979988
18.0,18,4.982644
37.0,37,4.988095
20.0,20,4.991108
24.0,24,4.994526
12.0,12,4.996317
30.0,30,5.000759
21.0,21,5.003797
21.0,21,5.006866
14.0,14,5.008992
20.0,20,5.012193
24.0,24,5.016104
18.0,18,5.019006
30.0,30,5.023678
16.0,16,5.026523
12.0,12,5.028645
18.0,18,5.031495
12.0,12,5.033482
37.0,37,5.039077
14.0,14,5.041364
10.0,10,5.043039
14.0,14,5.045294
13.0,13,5.04744
23.0,23,5.050745
11.0,11,5.052452
25.0,25,5.056056
11.0,11,5.057986
25.0,25,5.061574
33.0,33,5.066322
18.0,18,5.068941
15.0,15,5.071541
21.0,21,5.074873
11.0,11,5.076512
49.0,49,5.083326
14.0,14,5.085691
19.0,19,5.088452
20.0,20,5.091618
13.0,13,5.093743
38.0,38,5.099852
10.0,10,5.10153
27.0,27,5.105804
24.0,24,5.109226
47.0,47,5.116213
23.0,23,5.119527
24.0,24,5.150504
44.0,44,5.159795
41.0,41,5.16733
16.0,16,5.169665
24.0,24,5.173049
34.0,34,5.177802
16.0,16,5.180359
17.0,17,5.182831
12.0,12,5.184629
18.0,18,5.187301
29.0,29,5.191657
12.0,12,5.193583
17.0,17,5.196268
29.0,29,5.200375
22.0,22,5.203731
19.0,19,5.206506
26.0,26,5.21018
27.0,27,5.214021
50.0,50,5.2212
12.0,12,5.223072
16.0,16,5.225426
21.0,21,5.228461
12.0,12,5.230482
25.0,25,5.234022
49.0,49,5.24087
12.0,12,5.242688
28.0,28,5.247011
23.0,23,5.250312
10.0,10,5.251851
56.0,56,5.259658
17.0,17,5.26236
49.0,49,5.269157
26.0,26,5.272862
13.0,13,5.274785
39.0,39,5.280445
27.0,27,5.284277
36.0,36,5.289379
10.0,10,5.290908
43.0,43,5.297375
10.0,10,5.298897
21.0,21,5.343054
31.0,31,5.347789
12.0,12,5.349848
13.0,13,5.351769
9.0,9,5.35318
14.0,14,5.355254
16.0,16,5.357827
32.0,32,5.362323
22.0,22,5.365494
14.0,14,5.367562
22.0,22,5.370965
28.0,28,5.374959
14.0,14,5.377023
18.0,18,5.37964
22.0,22,5.38301
19.0,19,5.385781
13.0,13,5.387724
24.0,24,5.39127
16.0,16,5.394896
23.0,23,5.398736
13.0,13,5.400847
33.0,33,5.405955
25.0,25,5.409968
19.0,19,5.412702
12.0,12,5.414504
15.0,15,5.416732
22.0,22,5.420222
11.0,11,5.421884
16.0,16,5.424216
11.0,11,5.425959
21.0,21,5.429237
37.0,37,5.434516
23.0,23,5.437918
20.0,20,5.441218
13.0,13,5.443396
19.0,19,5.446302
32.0,32,5.450833
11.0,11,5.452487
16.0,16,5.455057
15.0,15,5.457325
23.0,23,5.460638
21.0,21,5.463864
22.0,22,5.467448
21.0,21,5.47044
17.0,17,5.472875
13.0,13,5.474774
19.0,19,5.477714
10.0,10,5.479208
12.0,12,5.480973
27.0,27,5.484816
22.0,22,5.488428
16.0,16,5.491
15.0,15,5.493427
27.0,27,5.50894
48.0,48,5.516518
14.0,14,5.518848
15.0,15,5.521251
11.0,11,5.523249
27.0,27,5.528113
17.0,17,5.530973
20.0,20,5.534449
15.0,15,5.537107
22.0,22,5.541149
24.0,24,5.545364
75.0,75,5.557388
27.0,27,5.561642
33.0,33,5.566993
9.0,9,5.568505
14.0,14,5.570769
54.0,54,5.578926
12.0,12,5.581148
13.0,13,5.583304
35.0,35,5.588657
38.0,38,5.594492
13.0,13,5.597114
19.0,19,5.60054
12.0,12,5.602786
13.0,13,5.60541
56.0,56,5.615372
24.0,24,5.619457
14.0,14,5.62175
25.0,25,5.625639
26.0,26,5.62995
17.0,17,5.632657
23.0,23,5.636233
9.0,9,5.637819
13.0,13,5.640194
22.0,22,5.643666
56.0,56,5.652301
59.0,59,5.661269
11.0,11,5.663371
35.0,35,5.668751
18.0,18,5.682588
47.0,47,5.689241
26.0,26,5.693181
17.0,17,5.695652
27.0,27,5.699678
15.0,15,5.70191
14.0,14,5.704229
34.0,34,5.709389
71.0,71,5.720092
37.0,37,5.72531
15.0,15,5.727784
12.0,12,5.729724
35.0,35,5.735147
10.0,10,5.736814
11.0,11,5.738899
19.0,19,5.742025
14.0,14,5.744076
25.0,25,5.747937
18.0,18,5.750984
19.0,19,5.753746
17.0,17,5.756268
11.0,11,5.75807
15.0,15,5.760564
13.0,13,5.762646
47.0,47,5.769858
19.0,19,5.772872
13.0,13,5.775251
21.0,21,5.778586
26.0,26,5.782403
19.0,19,5.78551
17.0,17,5.788454
24.0,24,5.792204
18.0,18,5.794959
11.0,11,5.796596
41.0,41,5.803162
29.0,29,5.807696
13.0,13,5.809904
13.0,13,5.812212
12.0,12,5.814341
25.0,25,5.817976
34.0,34,5.823261
14.0,14,5.825574
23.0,23,5.829416
14.0,14,5.831507
13.0,13,5.833456
15.0,15,5.835658
35.0,35,5.850937
12.0,12,5.852765
14.0,14,5.854981
17.0,17,5.857743
15.0,15,5.860458
42.0,42,5.866922
20.0,20,5.870043
13.0,13,5.871987
26.0,26,5.875893
24.0,24,5.879319
10.0,10,5.880991
19.0,19,5.884013
12.0,12,5.886143
11.0,11,5.887788
13.0,13,5.889759
11.0,11,5.891524
16.0,16,5.894791
19.0,19,5.898056
47.0,47,5.90555
15.0,15,5.907863
24.0,24,5.911963
17.0,17,5.91482
12.0,12,5.916609
26.0,26,5.920304
17.0,17,5.923026
21.0,21,5.926045
16.0,16,5.928392
22.0,22,5.931535
42.0,42,5.937646
38.0,38,5.943235
23.0,23,5.946961
13.0,13,5.949098
14.0,14,5.951703
61.0,61,5.960531
11.0,11,5.962243
23.0,23,5.965533
16.0,16,5.968098
13.0,13,5.970045
20.0,20,5.972932
20.0,20,5.975845
19.0,19,5.978841
16.0,16,5.981174
11.0,11,5.982827
36.0,36,5.987866
47.0,47,5.994603
36.0,36,5.999648
10.0,10,6.011872
13.0,13,6.014133
11.0,11,6.016235
13.0,13,6.018175
13.0,13,6.020108
20.0,20,6.023011
35.0,35,6.028197
18.0,18,6.030844
15.0,15,6.033069
22.0,22,6.036349
13.0,13,6.03852
11.0,11,6.04035
15.0,15,6.042619
19.0,19,6.045364
13.0,13,6.047541
16.0,16,6.049929
19.0,19,6.052669
33.0,33,6.057342
26.0,26,6.06127
20.0,20,6.06417
73.0,73,6.074294
29.0,29,6.078387
40.0,40,6.084199
16.0,16,6.08656
15.0,15,6.088772
52.0,52,6.095998
20.0,20,6.099082
23.0,23,6.102529
14.0,14,6.1046
22.0,22,6.107923
19.0,19,6.110887
12.0,12,6.112672
28.0,28,6.117165
14.0,14,6.119261
22.0,22,6.122644
13.0,13,6.124587
17.0,17,6.127045
19.0,19,6.129797
18.0,18,6.132593
18.0,18,6.135197
26.0,26,6.138865
21.0,21,6.141962
14.0,14,6.144237
12.0,12,6.14605
11.0,11,6.147784
14.0,14,6.14994
21.0,21,6.153271
64.0,64,6.172333
14.0,14,6.174454
11.0,11,6.176139
31.0,31,6.18079
17.0,17,6.183285
38.0,38,6.188651
12.0,12,6.190535
36.0,36,6.196182
29.0,29,6.200379
11.0,11,6.202102
34.0,34,6.20747
34.0,34,6.21266
31.0,31,6.217546
10.0,10,6.219289
31.0,31,6.223631
13.0,13,6.225807
39.0,39,6.231256
13.0,13,6.233195
34.0,34,6.237947
16.0,16,6.240482
14.0,14,6.24275
32.0,32,6.247766
35.0,35,6.252833
24.0,24,6.256807
27.0,27,6.261258
17.0,17,6.263757
25.0,25,6.267344
16.0,16,6.269918
17.0,17,6.272391
17.0,17,6.274906
26.0,26,6.278608
17.0,17,6.281284
19.0,19,6.284036
17.0,17,6.28651
12.0,12,6.288301
8.0,8,6.289762
13.0,13,6.29168
22.0,22,6.294844
27.0,27,6.298661
14.0,14,6.300934
24.0,24,6.304552
17.0,17,6.307239
9.0,9,6.308623
11.0,11,6.310508
26.0,26,6.31422
16.0,16,6.316533
19.0,19,6.31952
32.0,32,6.334548
14.0,14,6.336716
38.0,38,6.342264
17.0,17,6.344762
18.0,18,6.34762
47.0,47,6.354469
12.0,12,6.356449
13.0,13,6.35861
36.0,36,6.364752
13.0,13,6.366746
57.0,57,6.374662
23.0,23,6.37794
49.0,49,6.385
19.0,19,6.387735
12.0,12,6.390179
24.0,24,6.395441
18.0,18,6.398705
23.0,23,6.402323
33.0,33,6.407439
19.0,19,6.410215
13.0,13,6.41238
19.0,19,6.415133
23.0,23,6.418418
30.0,30,6.423191
13.0,13,6.425524
17.0,17,6.427978
35.0,35,6.43291
34.0,34,6.437711
18.0,18,6.440524
14.0,14,6.442655
18.0,18,6.445246
16.0,16,6.44759
14.0,14,6.450042
13.0,13,6.451951
26.0,26,6.455858
17.0,17,6.458606
22.0,22,6.46249
52.0,52,6.469678
46.0,46,6.476072
14.0,14,6.478126
10.0,10,6.479882
49.0,49,6.499594
33.0,33,6.504714
14.0,14,6.507084
24.0,24,6.510957
21.0,21,6.514032
12.0,12,6.516023
16.0,16,6.518591
24.0,24,6.522717
25.0,25,6.526556
26.0,26,6.530253
25.0,25,6.533803
76.0,76,6.544501
16.0,16,6.546854
12.0,12,6.548725
21.0,21,6.551801
17.0,17,6.554512
17.0,17,6.55724
44.0,44,6.564037
13.0,13,6.566019
9.0,9,6.56764
43.0,43,6.573647
14.0,14,6.575687
14.0,14,6.577768
21.0,21,6.580977
13.0,13,6.582911
14.0,14,6.584984
30.0,30,6.58921
51.0,51,6.596487
13.0,13,6.598413
12.0,12,6.600203
15.0,15,6.602417
13.0,13,6.604545
29.0,29,6.608806
15.0,15,6.610999
13.0,13,6.612943
12.0,12,6.614959
11.0,11,6.616605
14.0,14,6.618688
15.0,15,6.62091
38.0,38,6.626815
15.0,15,6.629025
16.0,16,6.631377
49.0,49,6.638203
34.0,34,6.643363
41.0,41,6.65892
12.0,12,6.660759
13.0,13,6.663121
15.0,15,6.665587
12.0,12,6.667383
37.0,37,6.67255
13.0,13,6.674476
25.0,25,6.678259
15.0,15,6.680443
12.0,12,6.682243
11.0,11,6.683928
24.0,24,6.687555
35.0,35,6.692472
13.0,13,6.694396
36.0,36,6.699539
15.0,15,6.701937
20.0,20,6.704767
31.0,31,6.709115
13.0,13,6.711024
12.0,12,6.712982
26.0,26,6.716658
57.0,57,6.724526
14.0,14,6.726941
22.0,22,6.730594
28.0,28,6.734783
20.0,20,6.737632
13.0,13,6.739531
23.0,23,6.743015
22.0,22,6.746097
34.0,34,6.750862
28.0,28,6.754832
17.0,17,6.758535
41.0,41,6.769425
33.0,33,6.774873
29.0,29,6.779128
21.0,21,6.782445
45.0,45,6.789453
12.0,12,6.791337
15.0,15,6.79359
30.0,30,6.79824
13.0,13,6.800253
10.0,10,6.801809
24.0,24,6.80528
22.0,22,6.808878
14.0,14,6.822475
21.0,21,6.825611
26.0,26,6.829807
15.0,15,6.832338
20.0,20,6.83526
14.0,14,6.837368
38.0,38,6.842801
26.0,26,6.846944
10.0,10,6.848531
12.0,12,6.850391
25.0,25,6.854052
12.0,12,6.856128
15.0,15,6.85843
36.0,36,6.863604
24.0,24,6.86713
17.0,17,6.869915
20.0,20,6.87283
38.0,38,6.87823
22.0,22,6.881485
12.0,12,6.883595
21.0,21,6.886652
12.0,12,6.888499
13.0,13,6.890456
16.0,16,6.893048
16.0,16,6.895425
26.0,26,6.899106
17.0,17,6.901604
18.0,18,6.904494
89.0,89,6.916754
33.0,33,6.921414
59.0,59,6.929947
13.0,13,6.932326
13.0,13,6.934448
14.0,14,6.936731
12.0,12,6.938694
18.0,18,6.941878
35.0,35,6.946797
14.0,14,6.948871
15.0,15,6.951112
16.0,16,6.953726
25.0,25,6.957268
36.0,36,6.962372
26.0,26,6.966051
15.0,15,6.968493
12.0,12,6.970282
38.0,38,6.985256
20.0,20,6.988183
12.0,12,6.990215
13.0,13,6.99216
19.0,19,6.994898
23.0,23,6.998219
16.0,16,7.000731
18.0,18,7.00332
13.0,13,7.005213
10.0,10,7.006714
55.0,55,7.014512
25.0,25,7.018061
23.0,23,7.021317
14.0,14,7.023381
20.0,20,7.026454
15.0,15,7.028656
18.0,18,7.031617
16.0,16,7.033945
15.0,15,7.036329
28.0,28,7.040263
25.0,25,7.043808
16.0,16,7.046155
35.0,35,7.051305
27.0,27,7.055194
43.0,43,7.061318
16.0,16,7.063679
38.0,38,7.069227
11.0,11,7.070888
24.0,24,7.074334
14.0,14,7.076411
9.0,9,7.078074
23.0,23,7.081351
17.0,17,7.083809
31.0,31,7.088196
34.0,34,7.093199
14.0,14,7.095279
18.0,18,7.09787
57.0,57,7.105728
22.0,22,7.10914
50.0,50,7.116049
37.0,37,7.121184
16.0,16,7.123498
32.0,32,7.138631
14.0,14,7.140934
9.0,9,7.142403
28.0,28,7.146442
15.0,15,7.149091
36.0,36,7.154239
24.0,24,7.15766
15.0,15,7.159928
10.0,10,7.161664
28.0,28,7.165615
15.0,15,7.167783
19.0,19,7.170512
10.0,10,7.172239
21.0,21,7.175224
17.0,17,7.177689
13.0,13,7.179608
16.0,16,7.182132
16.0,16,7.18444
17.0,17,7.18692
15.0,15,7.189087
22.0,22,7.19241
24.0,24,7.195825
17.0,17,7.198284
18.0,18,7.200882
21.0,21,7.204078
18.0,18,7.206664
14.0,14,7.208851
29.0,29,7.212946
17.0,17,7.215655
24.0,24,7.219087
42.0,42,7.22497
25.0,25,7.228549
16.0,16,7.231133
28.0,28,7.235429
21.0,21,7.238791
21.0,21,7.242199
18.0,18,7.245054
9.0,9,7.246483
37.0,37,7.251732
17.0,17,7.254288
15.0,15,7.256742
21.0,21,7.259903
32.0,32,7.264442
28.0,28,7.268466
15.0,15,7.270907
13.0,13,7.272847
32.0,32,7.277376
13.0,13,7.279308
21.0,21,7.282518
55.0,55,7.29995
35.0,35,7.304972
13.0,13,7.306933
16.0,16,7.309565
16.0,16,7.311925
15.0,15,7.314164
16.0,16,7.316512
18.0,18,7.319339
37.0,37,7.324575
11.0,11,7.326246
36.0,36,7.33134
21.0,21,7.334606
19.0,19,7.337747
23.0,23,7.341339
35.0,35,7.346284
13.0,13,7.348414
37.0,37,7.353708
21.0,21,7.356739
23.0,23,7.360176
15.0,15,7.362599
20.0,20,7.365474
11.0,11,7.367147
24.0,24,7.370605
10.0,10,7.372415
38.0,38,7.378647
16.0,16,7.381277
27.0,27,7.385526
20.0,20,7.388944
15.0,15,7.391217
11.0,11,7.392885
32.0,32,7.39741
22.0,22,7.400884
16.0,16,7.403869
28.0,28,7.408239
13.0,13,7.410378
40.0,40,7.41623
13.0,13,7.418277
21.0,21,7.421307
15.0,15,7.423554
27.0,27,7.42765
12.0,12,7.429502
51.0,51,7.436668
23.0,23,7.440437
10.0,10,7.442377
12.0,12,7.444349
11.0,11,7.44619
12.0,12,7.458087
23.0,23,7.461755
27.0,27,7.465617
25.0,25,7.469192
21.0,21,7.472229
13.0,13,7.474367
14.0,14,7.47642
10.0,10,7.477946
29.0,29,7.482032
19.0,19,7.484972
28.0,28,7.488956
12.0,12,7.490765
17.0,17,7.493237
11.0,11,7.495118
13.0,13,7.497044
14.0,14,7.499125
26.0,26,7.502827
39.0,39,7.508508
14.0,14,7.510621
17.0,17,7.51313
27.0,27,7.516934
12.0,12,7.51896
27.0,27,7.522813
35.0,35,7.52775
12.0,12,7.529558
10.0,10,7.531294
27.0,27,7.535151
28.0,28,7.539178
18.0,18,7.542511
21.0,21,7.54617
22.0,22,7.54964
29.0,29,7.554198
17.0,17,7.556976
21.0,21,7.560535
17.0,17,7.563033
30.0,30,7.567314
28.0,28,7.571321
54.0,54,7.579083
18.0,18,7.581722
24.0,24,7.585159
36.0,36,7.590246
15.0,15,7.592676
14.0,14,7.594757
27.0,27,7.598614
21.0,21,7.601685
19.0,19,7.604659
30.0,30,7.618919
24.0,24,7.622483
12.0,12,7.624294
11.0,11,7.62621
13.0,13,7.628155
20.0,20,7.631086
11.0,11,7.632757
16.0,16,7.63532
8.0,8,7.636582
32.0,32,7.641205
26.0,26,7.645449
8.0,8,7.646912
22.0,22,7.650144
38.0,38,7.655527
13.0,13,7.657468
13.0,13,7.659648
25.0,25,7.663293
16.0,16,7.665623
40.0,40,7.671997
31.0,31,7.676665
22.0,22,7.680012
21.0,21,7.683056
13.0,13,7.685005
55.0,55,7.693066
10.0,10,7.694625
14.0,14,7.696717
11.0,11,7.698405
21.0,21,7.701775
14.0,14,7.703851
37.0,37,7.709102
14.0,14,7.711335
18.0,18,7.71421
20.0,20,7.717145
31.0,31,7.721851
17.0,17,7.72433
23.0,23,7.727848
27.0,27,7.731702
15.0,15,7.733932
12.0,12,7.735733
22.0,22,7.73909
13.0,13,7.741088
14.0,14,7.74348
15.0,15,7.746081
10.0,10,7.747979
18.0,18,7.750885
15.0,15,7.75308
15.0,15,7.755273
14.0,14,7.757692
13.0,13,7.759838
14.0,14,7.762028
41.0,41,7.767743
11.0,11,7.779324
29.0,29,7.78357
15.0,15,7.785825
12.0,12,7.787633
24.0,24,7.791327
13.0,13,7.793275
23.0,23,7.796619
12.0,12,7.798444
11.0,11,7.800295
17.0,17,7.802827
19.0,19,7.805576
22.0,22,7.808762
61.0,61,7.817524
24.0,24,7.820967
11.0,11,7.822644
11.0,11,7.824312
20.0,20,7.827431
15.0,15,7.829631
17.0,17,7.832122
22.0,22,7.835278
18.0,18,7.838122
26.0,26,7.841986
15.0,15,7.844213
10.0,10,7.84605
30.0,30,7.850958
41.0,41,7.856771
32.0,32,7.861336
13.0,13,7.863341
16.0,16,7.865939
49.0,49,7.872848
21.0,21,7.875926
29.0,29,7.880081
13.0,13,7.88229
28.0,28,7.886272
24.0,24,7.889702
13.0,13,7.891645
18.0,18,7.894486
27.0,27,7.89835
12.0,12,7.900163
25.0,25,7.903733
24.0,24,7.907412
53.0,53,7.914874
10.0,10,7.916457
13.0,13,7.918393
23.0,23,7.921919
27.0,27,7.925746
19.0,19,7.938174
13.0,13,7.940179
19.0,19,7.94325
44.0,44,7.950059
16.0,16,7.952642
16.0,16,7.955047
12.0,12,7.957333
11.0,11,7.959219
22.0,22,7.963254
22.0,22,7.9668
15.0,15,7.969504
28.0,28,7.973478
33.0,33,7.978315
26.0,26,7.982016
18.0,18,7.984848
17.0,17,7.987327
11.0,11,7.98899
42.0,42,7.994874
18.0,18,7.997682
35.0,35,8.002619
17.0,17,8.00508
17.0,17,8.007551
17.0,17,8.010293
12.0,12,8.012099
10.0,10,8.013629
35.0,35,8.018546
22.0,22,8.02192
19.0,19,8.024682
14.0,14,8.026777
12.0,12,8.028573
23.0,23,8.032063
15.0,15,8.034297
13.0,13,8.036237
14.0,14,8.038321
11.0,11,8.040208
31.0,31,8.04461
9.0,9,8.046031
16.0,16,8.048451
20.0,20,8.052099
